Table S2. Genes that responded to Pou5f1 suppression in ZHBTc4 ES cells,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Features of OCT4/NANOG binding site,,,,,,,,,,,,
Z00060488-1,Gnpnat1,8.59,-0.655,4.518,0,57.774,0,0,1106,0,0,0,3,3.6686,-0.359,-0.386824493,0.1748,1,0,Gnpnat1,glucosamine-phosphate N-acetyltransferase 1
Z00019703-1,4932417I16Rik,42,-0.652,4.487,0,94.222,0,0,-207,1,0,1,3,4.4075,0,0,0.2352,0,0,4932417I16Rik,RIKEN cDNA 4932417I16 gene
Z00034692-1,Acp6,13.91,-0.652,4.487,0,99.158,0,0,792,1,0,4,1,4.7907,0,-0.368567385,0.1615,1,0,Acp6,"acid phosphatase 6, lysophosphatidic"
Z00002071-1,Gcat,44.83,-0.651,4.477,0,78.788,0,0,-837,0,0,2,0,2.5853,0,-0.470310812,0.3141,0,0,Gcat,glycine C-acetyltransferase (2-amino-3-ketobutyrate-coenzyme A ligase)
Z00052046-1,4933405K07Rik,10.92,-0.651,4.477,0,31.509,0,0,1095,0,0,1,2,4.5363,0,-0.601745114,0.133,1,0,4933405K07Rik,RIKEN cDNA 4933405K07 gene
Z00007816-1,Pcsk6,46.41,-0.65,4.466,0,65.267,0,0,11488,0,0,4,2,3.9572,0,0,0.2352,0,0,Pcsk6,proprotein convertase subtilisin/kexin type 6
Z00024731-1,Aard,20.56,-0.65,4.466,0,97.366,0,0,-30385,0,0,2,8,4.3521,0,-0.490588298,0.1802,1,0,Aard,alanine and arginine rich domain containing protein
Z00012264-1,Fkbp5,19.55,-0.648,4.446,0,71.824,0,0,-14492,0,0,2,3,3.463,0,-0.268938904,0.2486,0,0,Fkbp5,FK506 binding protein 5
Z00019455-1,0610010D24Rik,50.28,-0.648,4.446,0,55.405,0,0,2026,0,0,3,1,4.4547,0,0,0.256,0,0,0610010D24Rik,RIKEN cDNA 0610010D24 gene
Z00031861-1,LOC667666,9.86,-0.645,4.415,0,63.477,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC667666,similar to reduced expression 2
Z00004552-1,Gja7,9.97,-0.644,4.405,0,37.886,0,0,-14605,0,0,0,8,3.7804,-0.471,-0.383960042,0.1679,1,0,Gja7,gap junction membrane channel protein alpha 7
Z00011416-1,Ly6a,21.49,-0.642,4.385,0,98.301,0,0,1723,0,0,2,0,2.289,-0.34,0.177153564,0.3385,0,0,Ly6a,"lymphocyte antigen 6 complex, locus A"
Z00018930-1,Eif1ay,72.7,-0.641,4.375,0,65.001,0,0,-58118,0,0,2,0,1.0289,0,-0.449509323,0.6911,0,0,Eif1ay,"eukaryotic translation initiation factor 1A, Y-linked"
Z00024994-1,Smad6,39.71,-0.64,4.365,0,130.902,0,0,160,1,0,1,3,4.3749,0,0,0.2352,2,1,Smad6,MAD homolog 6 (Drosophila)
Z00031084-1,Defcr3,15.48,-0.64,4.365,0,103.768,0,0,-751,0,0,0,2,2.9471,0,0,0.2934,0,0,Defcr3,defensin related cryptdin 3
Z00064456-1,Trps1,8.32,-0.64,4.365,0,31.052,0,0,-10669,0,1,3,7,5.6235,0,-0.36219762,0.1139,1,1,Trps1,"Mus musculus trichorhinophalangeal syndrome I (human) (Trps1), mRNA"
Z00034921-1,Tcstv3,89.84,-0.638,4.345,0,110.681,0,0,0,0,0,0,0,0,0,0,1,0,0,Tcstv3,"2-cell-stage, variable group, member 3"
Z00022774-1,Gtlf3a,5.25,-0.634,4.305,0,66.811,0,0,8838,0,0,3,5,5.1707,0,-0.28064018,0.1139,1,0,Gtlf3a,gene trap locus F3a
Z00010342-1,Ptch1,61,-0.633,4.295,0,126.807,0,0,-3914,0,0,6,7,8.3875,-0.252,-0.204111236,0.1117,1,0,Ptch1,patched homolog 1
Z00032021-1,Ak7,15.64,-0.631,4.275,0,91.186,0,0,1418,0,0,0,4,4.1425,0,0,0.1977,1,0,Ak7,adenylate kinase 7
Z00002345-1,Dmd,16.69,-0.63,4.265,0,108.133,0,0,30033,0,0,2,4,3.2709,0,-0.650774893,0.2573,0,0,Dmd,"dystrophin, muscular dystrophy"
Z00022880-1,Brunol4,8.16,-0.63,4.265,0,79.058,0,0,-61,1,0,2,1,3.4215,0,0,0.189,1,0,Brunol4,"bruno-like 4, RNA binding protein (Drosophila)"
Z00011824-1,Anp32a,51.21,-0.629,4.255,0,68.401,0,0,-3311,0,0,3,1,3.9857,-0.221,-0.300052235,0.2574,0,0,Anp32a,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
Z00022162-1,Odz4,12.2,-0.629,4.255,0,63.156,0,0,-5155,0,0,5,4,6.2099,0,-0.491797761,0.106,1,0,Odz4,odd Oz/ten-m homolog 4 (Drosophila)
Z00064012-1,Klf5,9.52,-0.629,4.255,0,70.883,0,0,-22363,0,0,0,11,4.1371,-0.389,-0.346038796,0.1482,1,1,Klf5,
Z00006493-1,Ctnnal1,28.22,-0.627,4.236,0,77.236,0,0,5725,0,0,0,12,5.9458,0,-0.467126863,0.1226,1,0,Ctnnal1,"catenin (cadherin associated protein), alpha-like 1"
Z00040368-1,Rasgrp2,14.93,-0.627,4.236,0,79.244,0,0,1320,1,0,2,1,3.168,-0.652,-0.666674635,0.2687,0,0,Rasgrp2,"RAS, guanyl releasing protein 2"
Z00001280-1,Slc25a20,53.04,-0.625,4.216,0,61.891,0,0,-7232,0,0,0,5,3.293,0.232,0.364735333,0.286,0,0,Slc25a20,"solute carrier family 25 (mitochondrial carnitine/acylcarnitine translocase), member 20"
Z00008644-1,Cdca5,10.46,-0.622,4.187,0,25.58,0,0,-351,1,0,3,2,5.1795,0,0,0.1139,1,0,Cdca5,cell division cycle associated 5
Z00009499-1,Fblim1,20.39,-0.62,4.168,0,55.363,0,0,33301,0,0,5,16,6.8073,0,0,0.0867,1,0,Fblim1,filamin binding LIM protein 1
Z00056375-1,2700055K07Rik,17.89,-0.62,4.168,0,50.573,0,0,13345,1,0,2,0,0.3491,0,0,0.9993,0,0,2700055K07Rik,RIKEN cDNA 2700055K07 gene
Z00022662-1,Robo4,16.81,-0.618,4.149,0,110.022,0,0,-10975,0,0,0,2,1.7004,0,0,0.4307,0,0,Robo4,roundabout homolog 4 (Drosophila)
Z00004595-1,Ube4a,1.16,-0.615,4.12,1,7.414,0,0,-216,1,0,1,2,3.5526,0,0.283255815,0.2663,0,0,Ube4a,"ubiquitination factor E4A, UFD2 homolog (S. cerevisiae)"
Z00024684-1,Pnpla3,15.76,-0.615,4.12,0,71.718,0,0,-1631,1,0,3,3,5.2608,0,0,0.1314,1,0,Pnpla3,patatin-like phospholipase domain containing 3
Z00013361-1,Zfp42,27.53,-0.613,4.102,0,98.9,0,0,-14291,0,0,4,14,7.4697,-0.448,-0.540049498,0.0842,1,1,Zfp42,zinc finger protein 42
Z00054682-1,Alms1,16.5,-0.613,4.102,0,63.603,0,0,45671,0,0,0,4,1.8873,0,-0.300791128,0.3954,0,0,Alms1,Alstrom syndrome 1 homolog (human)
Z00015700-1,Fgd1,43.3,-0.612,4.092,0,46.516,0,0,2568,0,0,3,2,5.051,0,-0.27344445,0.1969,1,0,Fgd1,"FYVE, RhoGEF and PH domain containing 1"
Z00025932-1,Kirrel2,14.05,-0.612,4.092,0,61.493,0,0,7127,0,0,2,0,1.657,0,0,0.4377,0,0,Kirrel2,kin of IRRE like 2 (Drosophila)
Z00002164-1,Rdm1,16.47,-0.611,4.083,0,39.843,0,0,3363,0,0,2,0,1.9581,0,0,0.3815,0,0,Rdm1,RAD52 motif 1
Z00004899-1,Pdk1,32.37,-0.611,4.083,0,94.185,0,0,-4729,0,1,2,1,3.1689,-0.44,-0.341737379,0.2988,0,0,Pdk1,"pyruvate dehydrogenase kinase, isoenzyme 1"
Z00071718-1,AY036118,7.71,-0.611,4.083,0,24.23,0,0,0,0,0,0,0,0,0,0,1,0,0,AY036118,
Z00025702-1,Tmprss5,18.32,-0.609,4.064,0,85.626,0,0,29161,0,0,2,0,1.2029,0,0,0.5527,0,0,Tmprss5,"transmembrane protease, serine 5 (spinesin)"
Z00027115-1,Mup5,15.64,-0.609,4.064,0,92.525,0,0,-30167,0,0,4,10,5.4828,0,0,0.1265,1,0,Mup5,major urinary protein 5
Z00035973-1,2700094K13Rik,19.83,-0.609,4.064,0,62.363,0,0,0,0,0,0,0,0,0,-0.235414412,1,0,0,2700094K13Rik,RIKEN cDNA 2700094K13 gene
Z00011003-1,Ildr1,15.21,-0.608,4.055,0,64.394,0,0,13162,0,0,3,2,3.4813,0,0,0.247,0,0,Ildr1,immunoglobulin-like domain containing receptor 1
Z00016228-1,Ung,36.07,-0.608,4.055,0,72.637,0,0,7263,0,0,2,0,1.6477,-0.216,-0.406677316,0.4521,0,0,Ung,uracil DNA glycosylase
Z00025440-1,Coil,28.46,-0.608,4.055,0,72.054,0,0,-3804,0,0,0,4,3.3414,0,-0.278111152,0.2756,0,0,Coil,coilin
Z00036497-1,Gldc,33.9,-0.608,4.055,0,24.088,0,0,-10172,0,0,2,4,4.1727,0,0,0.2103,0,0,Gldc,glycine decarboxylase
Z00002447-1,Pcdh21,8.58,-0.607,4.045,0,73.299,0,0,11723,0,0,2,0,1.4786,0,-0.20807532,0.4777,0,0,Pcdh21,protocadherin 21
Z00005683-1,Dpp4,6.09,-0.604,4.017,0,64.93,0,0,4567,0,0,1,2,3.2747,0,-0.423667975,0.1978,1,0,Dpp4,dipeptidylpeptidase 4
Z00010775-1,Cth,10.57,-0.604,4.017,0,18.373,0,0,-7037,0,1,0,9,4.7801,0,-0.465661705,0.1252,1,0,Cth,cystathionase (cystathionine gamma-lyase)
Z00024444-1,Apobec2,22.88,-0.604,4.017,0,110.91,0,0,-2014,0,0,1,3,4.6345,0,0,0.1775,1,0,Apobec2,apolipoprotein B editing complex 2
Z00055438-1,Tmem8,20.84,-0.604,4.017,0,87.805,0,0,-2866,0,0,2,8,7.4936,-0.502,-0.324649983,0.0649,1,0,Tmem8,transmembrane protein 8 (five membrane-spanning domains)
Z00023223-1,Si,10.93,-0.603,4.008,0,69.995,0,0,1312,0,0,1,2,4.3163,0,0,0.139,1,0,Si,silver
Z00031085-1,Defcr24,14.34,-0.602,3.999,0,71.14,0,0,-772,0,0,0,2,2.9471,0,0,0.2934,0,0,Defcr24,defensin related cryptdin 24
Z00005867-1,Hunk,8.86,-0.601,3.99,0,60.856,0,0,50893,0,0,0,4,1.8415,0,-0.320067223,0.3898,0,0,Hunk,hormonally upregulated Neu-associated kinase
Z00013373-1,Edg2,12.82,-0.601,3.99,0,82.835,0,0,-250,0,0,1,9,9.1383,0,-0.298230311,0.0346,1,0,Edg2,"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2"
Z00030086-1,2410137F16Rik,18.44,-0.601,3.99,0,74.71,0,0,0,0,0,0,0,0,0,0,1,0,0,2410137F16Rik,RIKEN cDNA 2410137F16 gene
Z00014054-1,Parp12,19.07,-0.6,3.981,0,79.423,0,0,52696,0,0,0,3,1.5344,0,0,0.4642,0,0,Parp12,"poly (ADP-ribose) polymerase family, member 12"
Z00020787-1,Lrp11,38.57,-0.6,3.981,0,47.179,0,0,22859,0,1,1,5,3.3856,0,-0.415294269,0.2626,0,0,Lrp11,low density lipoprotein receptor-related protein 11
Z00034929-1,Odc1,38.01,-0.597,3.953,0,62.163,0,0,6675,0,0,3,0,2.1531,0,-0.281351349,0.3674,0,0,Odc1,"ornithine decarboxylase, structural 1"
Z00006629-1,Clstn1,48.78,-0.596,3.944,0,66.321,0,0,9301,0,0,4,0,2.3887,0,-0.266730533,0.3767,0,0,Clstn1,calsyntenin 1
Z00025642-1,Tcf15,31.6,-0.596,3.944,0,55.074,0,0,11685,0,0,2,0,1.4812,-0.345,-0.549867922,0.4546,0,1,Tcf15,transcription factor 15
Z00073034-1,Defcr6,11.1,-0.596,3.944,0,48.266,0,0,0,0,0,0,0,0,0,0,1,0,0,Defcr6,defensin related cryptdin 6
Z00013515-1,Tuba4,11.65,-0.594,3.926,0,68.485,0,0,944,0,0,2,1,4.5011,0,-0.454694535,0.133,1,0,Tuba4,"tubulin, alpha 4"
Z00031583-1,Ntn1,5.45,-0.594,3.926,0,61.443,0,0,321,1,0,4,3,6.6585,0,-0.347953362,0.081,1,0,Ntn1,netrin 1
Z00054252-1,Glul,18.87,-0.593,3.917,0,45.699,0,0,179156,0,0,1,14,3.5163,0,-0.374543312,0.246,0,0,Glul,glutamate-ammonia ligase (glutamine synthetase)
Z00019722-1,AI314976,41.37,-0.592,3.908,0,66.46,0,0,10545,0,0,0,3,2.2003,0,0,0.3674,0,0,AI314976,expressed sequence AI314976
Z00000225-1,Wdr74,17.62,-0.591,3.899,0,67.242,0,0,-7485,0,0,3,0,2.1014,0,0,0.3601,0,0,Wdr74,WD repeat domain 74
Z00000496-1,Liph,15.41,-0.59,3.89,1,49.702,0,0,2330,0,0,2,0,2.1321,-0.378,-0.580788279,0.3566,0,0,Liph,"lipase, member H"
Z00003769-1,LOC435970,52.79,-0.59,3.89,0,46.506,0,0,-9981,0,1,2,7,5.3003,0,0,0.1972,1,0,LOC435970,hypothetical LOC435970
Z00006398-1,Emb,27.65,-0.59,3.89,0,56.898,0,0,913,0,0,4,1,5.8411,-0.204,-0.511543613,0.1244,1,0,Emb,embigin
Z00026323-1,Bambi-ps1,27.77,-0.59,3.89,0,23.774,0,0,-103483,0,0,3,0,1.1556,0,0,0.5596,0,0,Bambi-ps1,"BMP and activin membrane-bound inhibitor, pseudogene (Xenopus laevis)"
Z00004448-1,Nme4,20.72,-0.589,3.881,0,39.611,0,0,0,0,0,0,0,0,0,-0.399336443,1,0,0,Nme4,"expressed in non-metastatic cells 4, protein"
Z00036599-1,Dhfr,39.6,-0.588,3.872,0,59.024,0,0,71489,1,0,0,2,0.0595,0,-0.357566725,1,0,0,Dhfr,dihydrofolate reductase
Z00064826-1,Chtf18,23.67,-0.588,3.872,0,76.975,0,0,0,0,0,0,0,0,0,-0.301655671,1,0,0,Chtf18,"Mus musculus CTF18, chromosome transmission fidelity factor 18 homolog (S. cerevisiae) (Chtf18), mRNA"
Z00006777-1,BC048355,21.71,-0.587,3.863,0,53.531,0,0,0,0,0,0,0,0,0,0,1,0,0,BC048355,cDNA sequence BC048355
Z00035663-1,Prodh,18.82,-0.587,3.863,0,65.197,0,0,3709,0,0,0,2,2.1911,0,0,0.3511,0,0,Prodh,proline dehydrogenase
Z00059045-1,Kit,17.55,-0.587,3.863,0,38.927,0,0,1898,0,0,2,4,6.1304,0,-0.239358056,0.106,1,0,Kit,kit oncogene
Z00002659-1,X99384,16.58,-0.586,3.854,0,55.685,0,0,500,1,0,4,0,2.9041,0,-0.580595063,0.2938,0,0,X99384,cDNA sequence X99384
Z00018502-1,BC017133,25.23,-0.585,3.845,0,61.079,0,0,-62158,0,1,6,11,5.3145,0,-0.210513497,0.148,1,0,BC017133,cDNA sequence BC017133
Z00056888-1,Myc,6.48,-0.585,3.845,1,34.67,0,0,25176,0,0,0,23,6.3585,0.279,0.434543828,0.1284,1,1,Myc,myelocytomatosis oncogene
Z00025781-1,Pigt,2.19,-0.582,3.819,1,7.672,0,0,24815,0,0,3,0,1.6019,0,0,0.4186,0,0,Pigt,"phosphatidylinositol glycan anchor biosynthesis, class T"
Z00058645-1,Laptm4b,19.86,-0.582,3.819,0,18.367,0,0,177,1,0,0,2,1.8784,0,-0.4459881,0.3955,0,0,Laptm4b,lysosomal-associated protein transmembrane 4B
Z00031032-1,Dppa3,20.68,-0.581,3.81,0,77.931,0,0,-1745,0,0,3,5,7.5024,0,-0.604309679,0.0649,1,0,Dppa3,developmental pluripotency-associated 3
Z00009134-1,Ak3l1,61.53,-0.578,3.784,0,81.009,0,0,-30912,1,1,2,5,2.4943,0,0.185403682,0.344,0,0,Ak3l1,adenylate kinase 3 alpha-like 1
Z00026399-1,D930048N14Rik,17.28,-0.578,3.784,0,75.725,0,0,38787,0,0,2,2,2.4174,0,0,0.3328,0,0,D930048N14Rik,RIKEN cDNA D930048N14 gene
Z00036223-1,Ddc,27.16,-0.578,3.784,0,80.338,0,0,205,0,0,2,6,8.3285,0,0,0.0842,1,0,Ddc,dopa decarboxylase
Z00046524-1,Hmgb1,26.88,-0.578,3.784,0,44.205,0,0,9900,0,1,0,4,2.666,-0.298,-0.255179876,0.3509,0,1,Hmgb1,high mobility group box 1
Z00023767-1,Mcf2,4.97,-0.577,3.775,0,42.342,0,0,8524,0,0,2,5,4.7621,0,-0.906170276,0.1252,1,0,Mcf2,mcf.2 transforming sequence
Z00034551-1,Tmed9,0.91,-0.577,3.775,1,24.271,0,0,-1231,0,0,4,1,5.6004,0,0,0.1456,1,0,Tmed9,transmembrane emp24 protein transport domain containing 9
Z00004904-1,Ncl,11.78,-0.576,3.767,0,58.539,0,0,10097,0,0,4,10,7.0058,-0.215,-0.235025015,0.072,1,0,Ncl,nucleolin
Z00021457-1,Epha4,5.3,-0.575,3.758,0,34.762,0,0,61345,0,0,4,13,5.2145,0,-0.613119427,0.1139,1,0,Epha4,Eph receptor A4
Z00035819-1,Hells,20.33,-0.575,3.758,0,84.676,0,0,-28291,0,1,1,5,3.2038,-0.515,0,0.2633,2,1,Hells,"helicase, lymphoid specific"
Z00008719-1,Chek2,28.46,-0.574,3.749,0,55.768,0,0,-44,1,0,0,4,3.438,0,-0.388576547,0.2615,0,0,Chek2,CHK2 checkpoint homolog (S. pombe)
Z00011389-1,Sssca1,34.65,-0.574,3.749,0,54.092,0,0,-5300,1,0,2,0,0.7078,0,-0.302075352,0.7538,0,0,Sssca1,Sjogren's syndrome/scleroderma autoantigen 1 homolog (human)
Z00001472-1,Sub1,14.6,-0.573,3.741,0,63.411,0,0,3120,0,0,0,2,2.2677,0,0,0.3385,0,1,Sub1,SUB1 homolog (S. cerevisiae)
Z00018780-1,Mrg1,5.32,-0.573,3.741,0,26.526,0,0,658,1,0,2,2,4.4504,0,0,0.133,1,1,Mrg1,myeloid ecotropic viral integration site-related gene 1
Z00022975-1,Gpa33,8.44,-0.573,3.741,0,57.26,0,0,2191,0,0,4,0,3.3225,0,-0.406422539,0.196,1,0,Gpa33,glycoprotein A33 (transmembrane)
Z00056842-1,D14Ertd668e,12.42,-0.573,3.741,0,62.767,0,0,-807,0,0,4,0,3.9585,0,0,0.2168,0,0,D14Ertd668e,"DNA segment, Chr 14, ERATO Doi 668, expressed"
Z00026598-1,Zbtb32,16.65,-0.572,3.732,0,71.729,0,0,-2251,0,0,1,2,3.838,0,0,0.2239,2,1,Zbtb32,zinc finger and BTB domain containing 32
Z00030419-1,LOC245202,20.22,-0.571,3.723,0,74.113,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC245202,"H3093D04-3 NIA Mouse 15K cDNA Clone Set Mus musculus cDNA clone H3093D04 3', mRNA sequence"
Z00034264-1,Dusp12,19.61,-0.571,3.723,0,55.893,0,0,-9537,0,0,4,0,2.3761,0,-0.181525437,0.3377,2,0,Dusp12,dual specificity phosphatase 12
Z00072448-1,LOC433782,9.21,-0.571,3.723,0,8.483,0,0,0,0,0,0,0,0,0,0,1,0,0,LOC433782,
Z00060186-1,Uchl1,75.78,-0.57,3.715,0,47.076,0,0,44312,0,0,2,4,2.9977,0,0,0.3773,0,0,Uchl1,ubiquitin carboxy-terminal hydrolase L1
Z00002215-1,1110012J17Rik,22.03,-0.569,3.706,0,51.558,0,0,42866,0,0,4,2,2.9523,0,-0.201796361,0.2934,0,0,1110012J17Rik,RIKEN cDNA 1110012J17 gene
Z00019043-1,Mrpl47,21.24,-0.569,3.706,0,29.403,0,0,17303,1,0,2,0,0.279,0,-0.243890183,1,0,0,Mrpl47,mitochondrial ribosomal protein L47
Z00035890-1,Zfp74,8.45,-0.569,3.706,0,29.022,0,0,-497,0,1,0,6,5.7461,0,-0.310348469,0.1139,1,1,Zfp74,zinc finger protein 74
Z00018955-1,Fancl,31.53,-0.568,3.698,0,65.354,0,0,-15026,0,1,0,2,1.5883,0,-0.334276953,0.4497,0,0,Fancl,"Fanconi anemia, complementation group L"
Z00042319-1,1190005I06Rik,10.68,-0.568,3.698,0,43.15,0,0,0,0,0,0,0,0,0,-0.389665554,1,0,0,1190005I06Rik,RIKEN cDNA 1190005I06 gene
Z00000460-1,Prpf19,1.09,-0.567,3.689,1,6.158,0,0,-2012,0,1,0,2,2.5015,0,0,0.3352,0,0,Prpf19,PRP19/PSO4 pre-mRNA processing factor 19 homolog (S. cerevisiae)
Z00019258-1,Rpa2,24.69,-0.564,3.664,0,50.02,0,0,10663,0,0,2,0,1.5133,0,-0.20113849,0.4536,0,0,Rpa2,replication protein A2
Z00016475-1,EG237412,15.76,-0.563,3.655,0,6.07,0,0,0,0,0,0,0,0,0,0,1,0,0,EG237412,"predicted gene, EG237412"
Z00060489-1,Etv1,12.65,-0.563,3.655,0,70.866,0,0,-478,1,0,9,3,9.2054,0,-0.703045877,0.0346,1,1,Etv1,ets variant gene 1
Z00014876-1,Calml4,23.69,-0.562,3.647,0,81.287,0,0,-12088,1,0,2,0,0.3937,-0.426,0,0.97,0,0,Calml4,calmodulin-like 4
Z00022649-1,Etv2,26.58,-0.561,3.639,0,57.681,0,0,-32651,0,0,3,0,1.5032,0,0,0.4536,0,1,Etv2,ets variant gene 2
Z00003302-1,Hmgb2l1,15.37,-0.56,3.63,0,67.117,0,0,2533,0,1,3,2,5.0668,0,0,0.1384,1,1,Hmgb2l1,high mobility group box 2-like 1
Z00026906-1,Krt17,16.55,-0.558,3.614,0,63.996,0,0,-10797,0,0,1,6,4.3448,0,0,0.1802,1,0,Krt17,keratin 17
Z00021533-1,Trim2,8.51,-0.557,3.605,0,52.868,0,0,10113,0,0,2,7,5.2651,0,-0.92237576,0.1139,1,0,Trim2,tripartite motif protein 2
Z00024788-1,Laptm5,11.09,-0.557,3.605,0,62.809,0,0,7939,0,0,2,2,3.4431,0,-0.346961785,0.189,1,0,Laptm5,lysosomal-associated protein transmembrane 5
Z00034957-1,Cry1,24.91,-0.557,3.605,0,32.848,0,0,2836,0,0,0,2,2.3176,0,-0.275181935,0.3687,0,0,Cry1,cryptochrome 1 (photolyase-like)
Z00050687-1,Dab1,15.2,-0.557,3.605,0,27.097,0,0,1088,1,0,7,0,4.4337,0,-0.303149789,0.1775,1,0,Dab1,disabled homolog 1 (Drosophila)
Z00019408-1,D11Ertd759e,45.33,-0.556,3.597,0,87.904,0,0,0,0,0,0,0,0,0,0,1,0,0,D11Ertd759e,"DNA segment, Chr 11, ERATO Doi 759, expressed"
Z00033977-1,D230005D02Rik,4.33,-0.556,3.597,0,48.541,0,0,51944,0,0,2,2,2.2533,0,-1.133968509,0.3189,0,0,D230005D02Rik,RIKEN cDNA D230005D02 gene
Z00034288-1,Zfp759,5.65,-0.556,3.597,0,38.044,0,0,0,0,0,0,0,0,0,0,1,0,0,Zfp759,zinc finger protein 759
Z00040114-1,Bcat2,19.17,-0.556,3.597,0,36.802,0,0,-1575,0,0,0,2,2.6253,0,-0.288056732,0.313,0,0,Bcat2,"branched chain aminotransferase 2, mitochondrial"
Z00024877-1,Mmrn2,19.09,-0.555,3.589,0,43.812,0,0,-849,0,0,2,0,2.592,0,-0.390125934,0.313,0,0,Mmrn2,multimerin 2
Z00031142-1,Tera,16.31,-0.555,3.589,0,46.958,0,0,-46050,0,0,7,8,5.2572,-0.394,-0.579442599,0.1314,1,0,Tera,"teratocarcinoma expressed, serine rich"
Z00034439-1,Slc7a7,22.9,-0.554,3.58,0,81.293,0,0,1710,0,0,0,6,5.0999,-0.469,-0.694034679,0.1384,1,0,Slc7a7,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 7"
Z00005989-1,Zfp219,24.58,-0.553,3.572,0,43.481,0,0,442,0,0,5,2,7.4889,0,-0.304201873,0.0842,1,1,Zfp219,zinc finger protein 219
Z00019524-1,Psap,1.03,-0.553,3.572,1,15.887,0,0,-46973,0,0,0,4,1.8786,0.269,0.58374355,0.4055,0,0,Psap,prosaposin
Z00005286-1,Etv4,23.84,-0.552,3.564,0,55.08,0,0,-1708,0,0,0,3,3.3081,-0.474,-0.495007599,0.2567,2,1,Etv4,"ets variant gene 4 (E1A enhancer binding protein, E1AF)"
Z00035722-1,Lmnb2,30.09,-0.552,3.564,0,62.961,0,0,10793,0,0,3,0,1.9321,0,-0.289828971,0.396,0,0,Lmnb2,lamin B2
Z00036507-1,Cenpp,51.01,-0.551,3.556,0,45.241,0,0,0,0,0,0,0,0,0,0,1,0,0,Cenpp,centromere protein P
Z00011365-1,BC068171,48.42,-0.55,3.548,0,23.868,0,0,0,0,0,0,0,0,0,-0.464807216,1,0,0,BC068171,cDNA sequence BC068171
Z00019240-1,Rnf7,52.89,-0.55,3.548,0,54.703,0,0,4894,0,0,2,1,3.1365,-0.291,0,0.2918,0,0,Rnf7,ring finger protein 7
Z00006523-1,Uhrf1,24.27,-0.549,3.539,0,58.583,0,0,4915,1,0,0,2,0.9933,0,0,0.6209,0,1,Uhrf1,"ubiquitin-like, containing PHD and RING finger domains, 1"
Z00024086-1,Egfl7,55.59,-0.548,3.531,0,51.146,0,0,-757,0,0,0,2,2.9307,0,0,0.3033,0,0,Egfl7,EGF-like domain 7
Z00015563-1,Usp28,15.22,-0.547,3.523,0,25.134,0,0,-8776,0,0,2,7,5.4298,0,-0.608206482,0.1279,1,0,Usp28,ubiquitin specific peptidase 28
Z00023485-1,Bex2,57.71,-0.547,3.523,0,37.381,0,0,1286,0,0,2,0,2.4393,-0.215,0,0.3695,0,0,Bex2,brain expressed X-linked 2
Z00053404-1,Ddefl1,14.82,-0.547,3.523,0,34.281,0,0,-7477,0,0,2,0,1.6354,0,0,0.4409,0,1,Ddefl1,development and differentiation enhancing factor-like 1
Z00005098-1,Trim28,42.18,-0.544,3.499,0,56.059,0,0,0,0,0,0,0,0,0,-0.232688255,1,0,1,Trim28,tripartite motif protein 28
Z00015776-1,5730590G19Rik,28.22,-0.544,3.499,0,65.647,0,0,-4891,0,1,1,10,6.6829,0,0,0.1035,1,0,5730590G19Rik,RIKEN cDNA 5730590G19 gene
Z00015752-1,Usp7,8.22,-0.543,3.491,0,54.504,0,0,-56280,0,0,2,2,2.2128,0,0,0.3228,0,0,Usp7,
Z00002338-1,Jmjd2c,9.9,-0.542,3.483,0,37.41,0,0,-6376,0,0,4,5,5.9893,0,-0.530206795,0.108,1,1,Jmjd2c,jumonji domain containing 2C
Z00035603-1,Mkrn1,18.72,-0.542,3.483,0,57.784,0,0,-57,0,0,8,4,10.5904,-0.367,-0.559972641,0.0203,1,0,Mkrn1,"makorin, ring finger protein, 1"
Z00028186-1,Dnajc6,17.3,-0.541,3.475,0,44.986,0,0,-13400,0,0,1,2,2.5616,0,-0.423256106,0.313,0,0,Dnajc6,"DnaJ (Hsp40) homolog, subfamily C, member 6"
Z00028478-1,E130202H07Rik,17.3,-0.54,3.467,0,82.347,0,0,96523,0,0,1,6,2.6641,0,0,0.313,0,0,E130202H07Rik,RIKEN cDNA E130202H07 gene
Z00035264-1,Gemin4,22.16,-0.54,3.467,0,32.372,0,0,26433,0,0,2,0,1.2276,0,-0.203829818,0.5444,0,0,Gemin4,gem (nuclear organelle) associated protein 4
Z00072989-1,Defa1,12.47,-0.54,3.467,0,49.775,0,0,0,0,0,0,0,0,0,0,1,0,0,Defa1,"defensin, alpha 1"
Z00045784-1,Aox3,6.98,-0.538,3.451,0,38.802,0,0,248,1,0,1,2,3.5477,0,0,0.1835,1,0,Aox3,aldehyde oxidase 3
Z00006495-1,Ppat,49.91,-0.537,3.443,0,17.124,0,0,-273,1,0,2,1,3.4145,-0.207,-0.206839712,0.286,0,0,Ppat,phosphoribosyl pyrophosphate amidotransferase
